id,country,city,line,phase,start_year,end_year,rr,length,tunnel_pct,tunnel_km,elevated,atgrade,stations,cost_km_real,real_cost_total
7618,TR,Istanbul,M5,M5 Phase 1,2011,2018,0,19.7,100.00,19.7,0,0,16,137.4,2706.9
7624,TR,Istanbul,Marmaray,CR3,2011,2019,1,63,0.00,0,0,0,36,64.4,4057.3
9501,TR,Istanbul,M4,M4 Phase 3,2015,2022,0,7.5,100.00,7.5,0,0,4,87.2,654.2
9509,TR,Istanbul,M11,M11 Phase 1,2016,2022,0,37.5,100.00,37.5,0,0,9,113.9,4271.2
9502,TR,Istanbul,M8,M8,2016,2022,0,14.3,100.00,14.3,0,0,11,167.8,2400.2
9833,TR,Istanbul,M3,M3 Phase 3,2017,2022,0,6.2,100.00,6.2,0,0,4,136.4,845.7
9510,TR,Istanbul,M11,M11 Phase 2,2018,2022,0,32,100.00,32,0,0,7,117.6,3762.2
9500,TR,Istanbul,M3,M3 Phase 2,2015,2023,0,8.9,100.00,8.4,0,0,8,141.4,1258.7
9835,TR,Istanbul,M9,M9,2016,2023,0,13.4,100.00,13.4,0,0,12,118.5,1588.2
9508,TR,Istanbul,M12,M12,2017,2023,0,13,100.00,13,0,0,11,220.5,2866.8
7625,TR,Istanbul,M7,M7 Phase1-2,2014,2024,0,23.75,96.21,22.85,0,0,19,142.6,3386.7
11255,TR,Istanbul,M4 P4-M10,M4 P4-M10,2017,2024,0,14,100.00,14,0,0,8,100.9,1412.9
,TR,Istanbul,M10,M10-P2,2022,2026,0,3.9,100.00,3.9,0,0,2,200.6,782.2
9507,TR,Istanbul,M5,M5 Phase 2-M13,2016,2027,0,17.8,100.00,17.8,0,0,13,139.5,2483.4
11254,TR,Istanbul,M1,M1B,2017,2027,0,9.7,95.00,9.3,0,0,10,332.8,3228.2
9834,TR,Istanbul,M7,M7 Phase 3,2017,2027,0,18.5,97.30,18,0,0,11,199.0,3681.2
7626,TR,Izmir,M1,M1 (Phase 1),1995,2000,0,11.6,29.31,3.4,0,0,10,204.4,2371.4
7632,TR,Izmir,M1,M1 (Phase 3),2010,2012,0,2.25,100.00,2.25,0,0,2,67.5,151.8
7627,TR,Izmir,M1,M1  (Phase 2),2005,2014,0,5.35,100.00,5.35,0,0,6,76.5,409.5
7579,TW,Kaohsiung,Red and Orange Lines,Red and Orange Lines,2001,2008,0,43,74.00,31.8,0,0,38,477.4,20527.9
7584,TW,Kaohsiung,Urban Railway Underground,Urban Railway Underground,2008,2018,1,15.4,100.00,15.4,0,0,10,595.4,9169.3
