s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,"Platform Length 
(Meters)",Source1,Cost,Currency,Year,PPP rate,Real cost,"Cost/km
 (Millions)",Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,
9756,BR,Sao Paulo,Line 17,Line 17,2012,2021,0,7.7,0.00%,0,0,0,8,,Trade,"1,300",USD,2016,2.3,2990,388.3,0,0,0,0,1.342104605,"4,012.9",521.2,Trade,https://www.railjournal.com/in_depth/21-rail-projects-to-watch-in-2021,,
7528,BR,Sao Paulo,Line 6,Line 6 phase 1,2015,2023,0,15.9,84.00%,13.4,0,0,15,,Trade,"9,600",BRL,2020,0.44,4224,265.7,0,0,0,0,1.244593545,"5,257.2",330.6,Trade,https://www.railjournal.com/passenger/metros/revival-of-sao-paulo-metro-line-6-orange-project-a-step-closer/,,
9761,CA,Calgary,Green Line,Green Line stage 1,2021,2027,0,20,20.00%,4,0,0,15,,Wiki,"5,500",CAD,2024,0.84,4620,231.0,0,0,0,1,1,"4,620.0",231.0,Media,https://globalnews.ca/news/7527443/green-line-lrt-calgary-alberta-government/,,
7106,CA,Calgary,Blue Line Extension,Northeast,2027,~,0,1,0.00%,0,0,1,1,40,Plan,161,CAD,2027,0.84,135.24,135.24,0,0,0,1,1,135.24,135.24,,,,
,CA,Edmonton,Valley Line Southeast,Southeast,2016,2023,0,13.1,3.00%,0.4,,,12,125,Wiki,"1,800",CAD,2019,0.802,1443.6,110.2,0,0,0,1,1.259947899,"1,818.9",138.8,Media,https://edmontonjournal.com/news/local-news/long-delayed-1-8-billion-valley-line-lrt-stymied-yet-again,,
7104,CA,Edmonton,Metro Line Extension,Northwest Phase 1,2020,2024,0,1.6,0.00%,0,0,1.6,2,125,Plan,291,CAD,2020,0.81,235.71,147.3,,,,1,1.244593545,293.4,183.4,,"https://www.edmonton.ca/projects_plans/transit/nw-lrt
https://tam-america.com/article/edmonton-metro-northwest-lrt-extension-phase-completed-on-budget-before-time#:~:text=Phase%201%20construction%20was%20originally,million%20(US%24215%20million).",,
7103,CA,Edmonton,Valley Line Extension,West,2022,2028,0,14,0.00%,0,2.1,11.9,14,125,Plan,"2,700",CAD,2022,0.88,2376,169.7,0,,,1,1.100662897,"2,615.2",186.8,Media,"https://majorprojects.alberta.ca/details/Valley-Line-West-LRT/3692
https://www.operis.com/case-study/edmonton-valley-line-west/",,
7116,CA,Hamilton,Hamilton LRT,Phase 1,2025,2029,0,14,0.00%,0,0,14,17,50,Plan,"3,400",CAD,2025,0.84,2856,204.0,,,,,1,"2,856.0",204.0,Media,"https://www.metrolinx.com/en/projects-and-programs/hamilton-lrt
https://canada.constructconnect.com/dcn/news/infrastructure/2024/11/request-for-qualifications-issued-for-hamilton-lrt-project",,
7114,CA,Mississauga,Hazel McCallion LRT,Phase 1,2020,2027,0,18,0.05%,1,,18,19,50,Plan,"4,700",CAD,2020,0.84,3948,219.3,,,,,1.244593545,"4,913.7",273.0,Media,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt/faqs,,
7401,CA,Montreal,Laval extension,Laval extension,2001,2007,0,5.2,100.00%,5.2,0,0,3,,Wiki,745,CAD,2004,0.81,603.45,116.0,0,0,0,1,1.705211752,"1,029.0",197.9,Media,https://montrealgazette.com/news/local-news/the-sleepy-success-story-of-the-laval-metro-extension,,
7146,CA,Montreal,Blue Line,Blue Line,2020,2026,0,5.8,100.00%,5.8,0,0,5,,Media,"7,600",CAD,2018,0.84,6384,1100.7,0,0,0,1,1.28277786,"8,189.3","1,411.9",Media,"https://montrealgazette.com/news/local-news/montreal-metro-green-light-for-blue-line-extension
https://www.cbc.ca/news/canada/montreal/blue-line-extension-delayed-1.7303767",,
7130,CA,Montreal,PSE,Phase 1,2025,2033,0,31,0.00%,0,0,31,36/22,,Plan,"19,000",CAD,2025,0.84,15960,514.8,,,,0,1,"15,960.0",514.8,Media,"https://www.cbc.ca/news/canada/montreal/public-transit-project-announcement-eastern-montreal-1.7475018
https://www.artm.quebec/wp-content/uploads/2024/05/RP_PSE_AC_VFinale_2024-05-28.pdf",,
7125,CA,Montreal,REM,Current Project Scope,2018,2027,0,67,15.67%,10.5,16.3,36.7,24,26,Plan,"9,400",CAD,2018,0.84,7896,117.9,0,0,0,1,1.28277786,"10,128.8",151.2,Media,"https://scfp.ca/sites/default/files/ppp201700191_ppp_canada_rem_01_01_2016_part2-opt_0.pdf
https://montreal.citynews.ca/2024/11/20/quebec-educational-gap-indigenous-students-auditor-general-report/",,
7117,CA,Ottawa,Confederation,Confederation,2013,2019,0,12.5,20.00%,2.5,0.84,9.16,13,90/120,Trade,"2,100",CAD,2016,0.83,1743,139.4,0,0,0,1,1.342104605,"2,339.3",187.1,Trade,https://www.aecom.com/projects/ottawa-light-rail/,,
7118,CA,Ottawa,Confederation,East West Extensions,2019,2025,0,28,12.14%,3.4,0,12,17,90/120,Plan,"2,600",CAD,2019,0.802,2085.2,74.5,,,,1,1.259947899,"2,627.2",93.8,Trade,"https://www.kiewit.com/projects/ottawa-lrt-stage-2/
https://pub-ottawa.escribemeetings.com/filestream.ashx?documentid=58389
https://delveunderground.com/projects/ottawa-light-rail-transit-stages-1-and-2",,
7121,CA,Ottawa,Line 2/Line 4,South Extension+Airport Link,2020,2025,0,20,0.00%,0,0.5,15.5,13,90/120,Plan,"1,660",CAD,2019,0.802,1331.32,66.6,,,,,1.259947899,"1,677.4",83.9,Media,"https://www.renewcanada.net/ottawa-proceeding-with-4-67-billion-stage-2-lrt/
https://www.atkinsrealis.com/en/projects/o-train-extension
",,
7400,CA,Toronto,Sheppard,Sheppard,1994,2002,0,5.5,100.00%,5.5,0,0,5,,Media,"1,000",CAD,1998,0.81,810,147.3,0,0,0,1,1.976162577,"1,600.7",291.0,Media,https://www.theglobeandmail.com/news/toronto/sheppard-subway-extension-a-quarter-the-stops-for-three-times-the-cost/article622366/,,
7108,CA,Toronto,YUS,Vaughan,2009,2017,0,8.6,100.00%,8.6,0,0,6,,Media,"3,200",CAD,2013,0.81,2592,301.4,0,0,0,1,1.382720845,"3,584.0",416.7,Media,https://www.thestar.com/news/gta/transportation/2017/12/15/trudeau-wynne-tory-on-hand-to-cut-ribbon-on-32-billion-subway-extension.html,,
7283,CA,Toronto,Eglinton Crosstown,Eglinton Crosstown,2011,2025,0,19,53.00%,10,0.62,8.31,25,,Plan,"12,800",CAD,2016,0.83,10624,559.2,0,0,0,1,1.342104605,"14,258.5",750.4,Trade,"https://www.cbc.ca/news/canada/toronto/eglinton-crosstown-opening-june-ttc-1.7400691#:~:text=Construction%20began%20in%202011%2C%20when,to%20at%20least%20%2412.8%20billion.",,
